AI #1,AI #2
3.24752188,2.52907562
3.2238214,2.534968
3.20695853,2.56090331
3.15798,2.57648444
3.135956,2.60797524
3.06538653,2.62175918
2.995206,2.63255215
2.93261337,2.64512539
2.82512379,2.652483
2.729413,2.66347861
2.62008834,2.67942119
2.50331259,2.695939
2.39112258,2.70349956
2.29395485,2.67864871
2.19371915,2.713717
2.10083556,2.650445
2.0404017,2.629402
1.962743,2.60544419
1.91798329,2.57672548
1.85810268,2.54900384
1.80605638,2.518187
1.75724244,2.51254416
1.73699915,2.499012
1.72100723,2.48168325
1.71163344,2.45805979
1.70799029,2.43633723
1.71078432,2.42432261
1.7212702,2.40897179
1.74716187,2.43083119
1.77869093,2.44047356
1.836287,2.47139454
1.88061953,2.46499014
1.92099643,2.44981456
2.00774932,2.48821926
2.06947637,2.50337839
2.1579988,2.507668
2.23836923,2.51008415
2.31913424,2.504792
2.40921831,2.49378
2.51084018,2.47731137
2.60613441,2.46915936
2.693441,2.47520757
2.769834,2.433461
2.82495928,2.45847058
2.93039441,2.461785
2.9755435,2.46791
3.04648542,2.492164
3.10998225,2.51591325
3.154627,2.50574517
3.17679334,2.51227021
3.19936514,2.50978827
3.21662259,2.50791454
3.22921228,2.5094595
3.23538685,2.51172233
3.23264742,2.52095366
3.21508861,2.53659487
3.13907337,2.589655
3.13041735,2.596914
3.085137,2.618527
3.01821613,2.63635969
2.95891047,2.65757823
2.85744739,2.64833021
2.76562643,2.66142416
2.654165,2.67375088
2.54278564,2.690625
2.4226408,2.70336246
2.31542,2.698503
2.21341443,2.676271
2.116307,2.64668679
2.03467655,2.62469029
1.96715331,2.61082959
1.92303443,2.57770061
1.85074568,2.558607
1.79993129,2.5389123
1.787243,2.53526354
1.77813768,2.50308251
1.72141266,2.490575
1.71278393,2.46737337
1.70875728,2.4458425
1.71029127,2.42925334
1.72083747,2.42543483
1.74508,2.42891383
1.77681458,2.43157077
1.81268537,2.4507184
1.85878742,2.4514854
1.91494262,2.46622276
1.97931564,2.47989178
2.05839872,2.49700141
2.1246345,2.50651765
2.20949721,2.515968
2.31574845,2.505515
2.389331,2.49504
2.500765,2.47994661
2.614144,2.46671581
2.716785,2.45718312
2.80040455,2.45459723
2.8658514,2.43638659
2.94335127,2.46751022
3.00085449,2.47655535
3.042404,2.49262953
3.10217524,2.49556041
3.140032,2.51007867
3.165343,2.51807737
3.16619778,2.51669121
3.1802175,2.51477647
3.23220372,2.51136613
3.2345047,2.51212215
3.23623586,2.51857042
3.22623754,2.52887
3.19772148,2.54848337
3.15759087,2.55796146
3.115543,2.563303
3.073566,2.6292758
3.015641,2.63668847
2.9276278,2.640003
2.8364315,2.64876866
2.75786877,2.68223166
2.67006922,2.7115202
2.56541228,2.683174
2.44374967,2.702875
2.34374952,2.701582
2.2312746,2.68070865
2.138309,2.655047
2.06684661,2.63407516
2.00376654,2.6125114
1.94326675,2.5802865
1.87875676,2.54834652
1.84021509,2.53971767
1.77787471,2.51833487
1.75456893,2.51869655
1.74368846,2.505055
1.71042275,2.4790535
1.71933091,2.4565258
1.70067632,2.438008
1.712647,2.42521572
1.72436011,2.42458558
1.74796176,2.42951632
1.77603388,2.4345293
1.81567121,2.442528
1.86284709,2.4517374
1.91223073,2.448664
1.990355,2.46329165
2.05922055,2.49936819
2.125648,2.507394
2.20249844,2.51884437
2.27475786,2.50702715
2.34599566,2.498108
2.459758,2.485595
2.55111313,2.47033167
2.667423,2.460251
2.75504184,2.4544
2.8197,2.4547863
2.877422,2.456734
2.9373796,2.46406412
2.99923277,2.476413
3.05706453,2.52382445
3.09674048,2.49378
3.140854,2.48676729
3.179708,2.50091314
3.19799542,2.5001626
3.20952249,2.51659274
3.221389,2.50002551
3.23083949,2.50876379
3.225465,2.52273965
3.21306157,2.54015613
3.17780685,2.567357
3.139769,2.594958
3.0959022,2.61921167
3.04577327,2.63508582
2.99810958,2.63944125
2.93099713,2.65337062
2.83662868,2.65323353
2.75096583,2.66411948
2.640578,2.669916
2.53631544,2.694197
2.401773,2.71017241
2.3489542,2.697528
2.23087478,2.67743254
2.13181138,2.65348
2.049496,2.62800479
1.97496021,2.60080385
1.92014182,2.57776642
1.86779964,2.553195
1.81633413,2.54630852
1.776116,2.51813221
1.72675431,2.505011
1.71242785,2.488126
1.69895065,2.4614346
1.70736027,2.45307422
1.689385,2.42807
1.710839,2.42485952
1.744313,2.427314
1.75850248,2.43469357
1.80456614,2.4425993
1.84922731,2.45291
1.90382111,2.46353817
1.96248007,2.4781332
2.023325,2.510413
2.08854175,2.48648262
2.199855,2.50818849
2.24487782,2.508342
2.33714771,2.50268269
2.44630814,2.48671269
2.55387974,2.45753932
2.66972423,2.46063471
2.751196,2.45436716
2.81271482,2.45544362
2.878704,2.45742416
2.942913,2.46562
3.008245,2.48216534
3.06196237,2.49464273
3.10957122,2.51703644
3.1511097,2.492728
3.17134213,2.509339
3.20788431,2.49728632
3.2187922,2.49338555
3.236592,2.49945021
3.23897529,2.52374768
3.24226236,2.5066
3.21300673,2.54115582
3.18779445,2.56593275
3.150584,2.59032321
3.103764,2.61628079
3.04648542,2.6352365
2.97257948,2.64512539
2.88484025,2.648659
2.79455328,2.65442252
2.6956377,2.67673659
2.596766,2.68328357
2.49484825,2.69815779
2.37708664,2.68481755
2.23045278,2.65441155
2.143919,2.6578083
2.05453634,2.632196
1.99193275,2.60843539
1.93887842,2.58690453
1.89164233,2.564552
1.84016037,2.54199123
1.78989458,2.521337
1.753791,2.507586
1.73075366,2.496574
1.70963383,2.43046975
1.76055145,2.4791193
1.70911336,2.43288565
1.71170473,2.42672229
1.72787738,2.42389536
1.7647481,2.42979026
1.79825485,2.44174457
1.82797062,2.44519615
1.87136078,2.45499182
1.92190039,2.466661
2.0033803,2.48695922
2.09395456,2.503614
2.18210459,2.48690438
2.27576041,2.519803
2.397412,2.50454545
2.46248651,2.49792171
2.569576,2.452636
2.664054,2.46970177
2.75160122,2.44006252
2.82350755,2.46983862
2.93261337,2.45726538
2.969002,2.47146034
3.023667,2.48621964
3.07619572,2.49894071
3.12162423,2.50482464
3.15801287,2.50771737
3.18184471,2.509591
3.20281672,2.5212276
3.22651148,2.50832558
3.21864963,2.51098275
3.22510338,2.52464628
3.227996,2.52080035
3.21149468,2.544369
3.19069529,2.58931255
3.1389637,2.58557343
3.10239434,2.61231422
3.05944228,2.62981272
2.986632,2.64353657
2.90786123,2.64876866
2.82896972,2.65412664
2.742255,2.661983
2.66257453,2.66906667
2.57776642,2.66674924
2.47211766,2.69248748
2.36251354,2.6998837
2.24256039,2.675997
2.14813757,2.64997387
2.06875324,2.63943315
1.98797178,2.60693979
1.94877267,2.5813
1.88007164,2.55678344
1.82629418,2.53427744
1.786224,2.518302
1.75390053,2.50512052
1.73228216,2.491479
1.7177695,2.47553635
1.70974338,2.45841575
1.68196714,2.43915868
1.71633959,2.42521024
1.72498477,2.41893172
1.74592376,2.43891764
1.77849925,2.44348669
1.83463871,2.45121145
1.8864404,2.45260859
1.9337889,2.470414
1.99761951,2.48796177
2.067767,2.50191569
2.143141,2.51130033
2.22798753,2.51216054
2.31443357,2.50597525
2.40513682,2.513174
2.51912379,2.462355
2.57793069,2.462059
2.67999649,2.45666265
2.79559422,2.46211386
2.87374616,2.46353817
2.93327069,2.45062
3.01851726,2.469592
3.05486774,2.49312258
3.111708,2.5012033
3.15653372,2.504266
3.1806283,2.50258946
3.20106339,2.4976697
3.21812916,2.49890232
3.23052716,2.50061727
3.22793579,2.50029945
3.21393824,2.53574586
3.21024561,2.54857659
3.17490315,2.557797
3.15116739,2.6059947
3.112475,2.61918426
3.02813768,2.639992
2.99975324,2.64309835
2.91713643,2.64926171
2.82211041,2.65512371
2.726378,2.665336
2.626334,2.6792295
2.51938677,2.69462419
2.4078486,2.69739079
2.29082656,2.68974829
2.184756,2.687787
2.10750842,2.6262846
2.04114127,2.60589886
1.9716841,2.600875
1.91836679,2.57562971
1.87711322,2.54045725
1.81524932,2.53838634
1.78628969,2.51899242
1.75540709,2.506545
1.73047972,2.490575
1.71574235,2.46605849
1.708319,2.44614935
1.70595217,2.43079829
1.71114039,2.43620014
1.7255764,2.40440273
1.75604808,2.44003534
1.79449666,2.44573283
1.84815907,2.450335
1.88753343,2.47053981
1.9328959,2.4537425
1.98977971,2.494273
2.04870152,2.50761342
2.158985,2.51231933
2.23406315,2.512944
2.3224926,2.50638056
2.4222846,2.49131465
2.53426647,2.4740572
2.63627744,2.434973
2.74343824,2.4588542
2.80709934,2.45499182
2.89609313,2.46682549
2.93412542,2.46554351
3.00402641,2.512681
3.05514169,2.482768
3.110667,2.49819016
3.15814424,2.50620532
3.18621659,2.50383854
3.20288229,2.49933529
3.21767449,2.49874353
3.23053813,2.502984
3.23579764,2.5121057
3.23200655,2.52760458
3.21451879,2.53503346
3.18628216,2.569154
3.15751982,2.59246
3.10485959,2.61992383
3.05072045,2.610605
3.00046,2.636672
2.91805124,2.64350915
2.84706545,2.65660286
2.744063,2.6617856
2.66676569,2.672888
2.57023335,2.68725562
2.46904421,2.70082879
2.368677,2.702568
2.262464,2.68683362
2.17417169,2.67260027
2.0885582,2.64449525
2.02081585,2.6048305
1.94417071,2.58981919
1.89704144,2.568357
1.8584094,2.55005574
1.81590676,2.52050447
1.76625466,2.506545
1.75193918,2.49864483
1.73406816,2.47964525
1.7113595,2.455211
1.70585358,2.434858
1.70700407,2.422975
1.71601081,2.42080545
1.73182189,2.42737985
1.7608583,2.43458414
1.80190361,2.45246053
1.84029734,2.45098138
1.89524722,2.46214128
1.96132958,2.47632527
2.035197,2.48328853
2.09856749,2.520307
2.18394,2.5198853
2.250559,2.514352
2.358569,2.503477
2.44884467,2.48822474
2.55259228,2.47082472
2.66219115,2.45811439
2.75155759,2.454959
2.830082,2.4478147
2.90786123,2.452855
2.94526887,2.47400236
3.03836536,2.479927
3.09203982,2.495292
3.13049936,2.5105443
3.14473271,2.49151182
3.15512013,2.49430585
3.20495319,2.49161053
3.21619534,2.4938786
3.23026419,2.49838185
3.2351675,2.51043487
3.22999024,2.528432
3.20635033,2.55305815
3.17135859,2.57283568
3.13575888,2.60383344
3.095787,2.62372065
3.018605,2.63867712
2.96564913,2.645591
2.888867,2.65342546
2.79134846,2.65054917
2.69232321,2.67928433
2.59561563,2.68256044
2.467346,2.69919872
2.350406,2.70029449
2.23595881,2.67988682
2.13619423,2.652138
2.05278325,2.627868
1.97972655,2.613925
1.938484,2.54476357
1.84782481,2.5537374
1.81616032,2.53287339
1.7727468,2.513448
1.7318877,2.50189924
1.73554742,2.48241186
1.690541,2.45282769
1.70188165,2.433406
1.70368409,2.42369819
1.71768725,2.42417479
1.74217641,2.43288565
1.77774322,2.44092274
1.82317686,2.44184327
1.87374389,2.47107124
1.92376316,2.45181417
1.99844134,2.48674536
2.07204032,2.48895884
2.15279412,2.51659822
2.232058,2.49210358
2.34175,2.48591828
2.44932151,2.48887658
2.53475952,2.47361875
2.644194,2.462059
2.73551631,2.45561624
2.80812931,2.453381
2.87380624,2.45666814
2.93350077,2.46491885
2.995562,2.47208476
3.07026243,2.50060081
3.1173234,2.505915
3.15893316,2.50134039
3.20955539,2.49184871
3.19583154,2.5101335
3.22481322,2.510161
3.2365756,2.51248384
3.23653722,2.51884437
3.23018217,2.52692533
3.21280122,2.54242969
3.18169665,2.562892
3.13860774,2.59198332
3.09381485,2.61754084
3.03895235,2.61918426
2.99520063,2.57832527
2.88012862,2.64775515
2.79019785,2.65704131
2.669609,2.66339636
2.59532523,2.68758416
2.4766047,2.70634842
2.36963558,2.70070553
2.24852657,2.68443418
2.167737,2.66467023
2.09452987,2.64211226
2.02700663,2.62128
1.97362351,2.60028338
1.92142379,2.57937717
1.87067592,2.53804684
1.84733725,2.549223
1.76674771,2.533472
1.74790156,2.48879457
1.72964418,2.49694371
1.72090864,2.485332
1.69983816,2.47530627
1.68603218,2.400458
1.72176886,2.43400884
1.72994363,2.42737985
1.754558,2.43368
1.80005348,2.44027
1.84871233,2.44989657
1.88816619,2.45655322
1.93292868,2.46419573
1.99742234,2.48421979
2.07576561,2.4956975
2.15690327,2.50588751
2.25275064,2.51878953
2.35098124,2.49388957
2.43531,2.51070881
2.51859784,2.46416831
2.63099074,2.46055245
2.73935676,2.455567
2.8261373,2.4549644
2.903248,2.459539
2.9731,2.47287917
3.031655,2.48901367
3.084874,2.49440455
3.13080072,2.5114758
3.16789079,2.50725722
3.1812036,2.51928258
3.22390914,2.49994326
3.24045444,2.50114322
3.236866,2.51626945
